ICD10CMCode,TotalDiag,,
S00.00XS,0,0,1
S00.201S,0,0,1
S00.241S,0,0,1
S00.271S,0,0,1
S00.272S,0,0,2
S00.452S,0,0,1
S00.87XS,0,0,1
S01.05XS,0,0,3
S01.121S,0,0,1
S01.122S,0,0,1
S01.131S,0,0,1
S01.332S,0,0,1
S01.342S,0,0,1
S01.351S,0,0,4
S01.412S,0,0,1
S01.421S,0,0,1
S01.442D,0,0,1
S01.442S,0,0,1
S01.452S,0,0,4
S01.501S,0,0,7
S01.82XS,0,0,2
S01.83XS,0,0,2
S01.84XS,0,0,2
S02.109D,0,0,1
S02.3XXK,0,0,2
S02.400B,0,0,1
S02.400D,0,0,10
S02.400G,0,0,1
S02.401K,0,0,4
S02.40DS,0,0,1
S02.40FG,0,0,1
S02.40FS,0,0,1
S02.411S,0,0,2
S02.412K,0,0,2
S02.412S,0,0,1
S02.413S,0,0,2
S02.61XK,0,0,1
S02.620A,0,0,2
S02.621B,0,0,2
S02.621G,0,0,1
S02.622D,0,0,3
S02.62XG,0,0,1
S02.62XK,0,0,1
S02.62XS,0,0,3
S02.631D,0,0,2
S02.641K,0,0,1
S02.650D,0,0,1
S02.652K,0,0,3
S02.66XG,0,0,1
S02.670D,0,0,7
S02.670G,0,0,3
S02.671D,0,0,2
S02.671G,0,0,2
S02.672D,0,0,1
S02.672K,0,0,1
S02.67XK,0,0,2
S02.80XK,0,0,2
S02.80XS,0,0,2
S03.03XS,0,0,1
S03.1XXD,0,0,1
S03.1XXS,0,0,3
S04.012D,0,0,1
S04.21XD,0,0,1
S04.30XA,0,0,1
S04.30XS,0,0,1
S04.32XS,0,0,2
S04.71XS,0,0,1
S04.819A,0,0,1
S04.9XXS,0,0,2
S05.21XS,0,0,6
S05.22XS,0,0,2
S05.52XS,0,0,2
S05.61XS,0,0,4
S05.8X9S,0,0,1
S06.2X1D,0,0,1
S06.2X6S,0,0,2
S06.340S,0,0,1
S06.369S,0,0,1
S06.9X4S,0,0,1
S07.0XXS,0,0,3
S08.111S,0,0,2
S08.121S,0,0,1
S08.122D,0,0,1
S09.0XXS,0,0,1
S09.10XS,0,0,1
S09.12XS,0,0,2
S10.81XS,0,0,1
S11.20XD,0,0,1
S11.84XD,0,0,1
S11.89XS,0,0,1
S12.130D,0,0,1
S12.400K,0,0,1
S12.500K,0,0,1
S12.591S,0,0,1
S12.690G,0,0,1
S13.121D,0,0,1
S13.141D,0,0,1
S13.151S,0,0,1
S13.161D,0,0,1
S13.171D,0,0,1
S13.29XA,0,0,1
S14.115S,0,0,2
S14.116D,0,0,1
S14.116S,0,0,1
S14.117S,0,0,1
S14.121S,0,0,1
S14.122D,0,0,1
S14.127D,0,0,1
S14.128D,0,0,1
S14.133A,0,0,1
S14.134S,0,0,1
S14.147S,0,0,1
S14.157S,0,0,4
S14.159D,0,0,1
S15.021A,0,0,1
S15.319A,0,0,1
S17.0XXD,0,0,1
S19.81XS,0,0,1
S19.82XD,0,0,1
S19.83XD,0,0,1
S19.85XD,0,0,1
S19.89XS,0,0,1
S20.01XS,0,0,1
S21.001S,0,0,6
S21.009S,0,0,1
S21.012S,0,0,2
S21.201S,0,0,2
S21.309S,0,0,1
S22.008B,0,0,1
S22.060K,0,0,2
S22.068S,0,0,1
S22.071G,0,0,1
S22.079B,0,0,1
S22.088G,0,0,2
S24.112D,0,0,1
S24.152D,0,0,1
S24.8XXD,0,0,1
S25.191A,0,0,1
S25.392A,0,0,1
S25.812A,0,0,1
S26.99XS,0,0,1
S27.1XXS,0,0,1
S27.818S,0,0,3
S27.819S,0,0,1
S28.0XXD,0,0,1
S30.817D,0,0,1
S30.93XD,0,0,1
S30.93XS,0,0,1
S31.132D,0,0,2
S31.20XS,0,0,2
S31.32XD,0,0,1
S31.33XD,0,0,1
S31.602S,0,0,3
S31.821S,0,0,1
S31.839S,0,0,1
S32.000K,0,0,1
S32.002D,0,0,1
S32.028G,0,0,1
S32.041D,0,0,1
S32.129D,0,0,2
S32.19XG,0,0,1
S32.2XXK,0,0,1
S32.312K,0,0,1
S32.313K,0,0,1
S32.431D,0,0,1
S32.432D,0,0,1
S32.482D,0,0,1
S32.492K,0,0,1
S32.509B,0,0,1
S32.811D,0,0,7
S32.811K,0,0,1
S33.121A,0,0,1
S33.8XXS,0,0,1
S34.129A,0,0,1
S34.139S,0,0,1
S34.22XS,0,0,1
S34.4XXD,0,0,1
S34.6XXD,0,0,1
S34.8XXD,0,0,1
S35.491A,0,0,1
S35.512A,0,0,1
S35.514A,0,0,1
S35.516S,0,0,1
S36.114D,0,0,2
S36.13XS,0,0,1
S36.221A,0,0,1
S36.291A,0,0,1
S36.503A,0,0,1
S36.511A,0,0,1
S36.519D,0,0,1
S36.590A,0,0,2
S36.599S,0,0,1
S36.60XD,0,0,2
S36.892S,0,0,1
S36.899S,0,0,1
S37.001D,0,0,1
S37.092D,0,0,2
S37.092S,0,0,1
S37.10XS,0,0,3
S37.13XS,0,0,2
S37.19XS,0,0,1
S37.39XS,0,0,2
S37.421A,0,0,1
S37.531A,0,0,1
S37.591A,0,0,1
S37.892D,0,0,1
S37.893A,0,0,2
S38.211A,0,0,1
S39.023A,0,0,1
S39.091S,0,0,1
S39.83XS,0,0,1
S39.840S,0,0,1
S40.252S,0,0,1
S41.042S,0,0,1
S41.052S,0,0,1
S42.011K,0,0,2
S42.018K,0,0,2
S42.021P,0,0,7
S42.024K,0,0,2
S42.025K,0,0,1
S42.033K,0,0,1
S42.034K,0,0,1
S42.121K,0,0,2
S42.122K,0,0,3
S42.131G,0,0,1
S42.132P,0,0,1
S42.134G,0,0,1
S42.141K,0,0,1
S42.142G,0,0,2
S42.142P,0,0,2
S42.145S,0,0,1
S42.152B,0,0,1
S42.152P,0,0,1
S42.192K,0,0,1
S42.202P,0,0,3
S42.211B,0,0,2
S42.211P,0,0,1
S42.214K,0,0,1
S42.221B,0,0,1
S42.221G,0,0,1
S42.221K,0,0,1
S42.222D,0,0,3
S42.231S,0,0,1
S42.232P,0,0,1
S42.251P,0,0,4
S42.252K,0,0,6
S42.252P,0,0,7
S42.254S,0,0,2
S42.261G,0,0,1
S42.262D,0,0,1
S42.294K,0,0,1
S42.321G,0,0,1
S42.321K,0,0,3
S42.331K,0,0,1
S42.332K,0,0,3
S42.334K,0,0,2
S42.351K,0,0,6
S42.351P,0,0,1
S42.353K,0,0,1
S42.361D,0,0,1
S42.361K,0,0,1
S42.362K,0,0,2
S42.362S,0,0,1
S42.392G,0,0,1
S42.411P,0,0,3
S42.415K,0,0,1
S42.421S,0,0,1
S42.422K,0,0,1
S42.422S,0,0,1
S42.424K,0,0,1
S42.431B,0,0,1
S42.432P,0,0,1
S42.441G,0,0,1
S42.442K,0,0,2
S42.442P,0,0,1
S42.447A,0,0,3
S42.451B,0,0,2
S42.451P,0,0,1
S42.451S,0,0,1
S42.452K,0,0,8
S42.452P,0,0,5
S42.453D,0,0,1
S42.461S,0,0,2
S42.462K,0,0,2
S42.462P,0,0,1
S42.471K,0,0,1
S42.471P,0,0,1
S42.482S,0,0,1
S42.492P,0,0,1
S42.91XK,0,0,2
S42.92XP,0,0,2
S43.011D,0,0,3
S43.012S,0,0,1
S43.024D,0,0,2
S43.081D,0,0,2
S43.084S,0,0,8
S43.085S,0,0,5
S43.111S,0,0,1
S43.131D,0,0,2
S43.132D,0,0,1
S43.132S,0,0,1
S43.142D,0,0,1
S43.149D,0,0,1
S43.201S,0,0,1
S43.203A,0,0,1
S43.211D,0,0,1
S43.211S,0,0,1
S43.221A,0,0,2
S43.315D,0,0,1
S43.431S,0,0,61
S43.439D,0,0,4
S43.439S,0,0,1
S43.492S,0,0,15
S43.499D,0,0,1
S43.61XS,0,0,1
S43.81XS,0,0,4
S43.91XS,0,0,1
S44.01XS,0,0,2
S44.02XS,0,0,1
S44.10XA,0,0,1
S44.12XS,0,0,1
S44.21XD,0,0,2
S44.21XS,0,0,1
S44.22XD,0,0,1
S44.32XS,0,0,1
S44.41XA,0,0,1
S44.41XD,0,0,1
S44.42XA,0,0,3
S44.8X9S,0,0,1
S44.91XS,0,0,1
S45.292S,0,0,1
S45.901S,0,0,1
S45.902S,0,0,1
S46.091S,0,0,2
S46.101D,0,0,3
S46.111S,0,0,17
S46.119D,0,0,2
S46.122D,0,0,1
S46.191S,0,0,1
S46.219D,0,0,2
S46.312S,0,0,1
S46.802D,0,0,1
S46.892D,0,0,1
S47.2XXS,0,0,1
